Note,Score_duration,Time-Signature,Movement,Measure,Repeated
0,0,0,x,x,.
F5,0.375,4/4,1,1,0
B♭4,0.125,4/4,1,1,0
G5,0.5,4/4,1,2,0
G5,0.5,4/4,1,2,0
E♭4,0.5,4/4,1,2,0
G5,0.5,4/4,1,2,0
G5,0.375,4/4,1,2,0
E♭5,0.125,4/4,1,2,0
F5,0.5,4/4,1,2,0
0,0.5,4/4,1,2,0
D5,0.375,4/4,1,2,0
B♭4,0.125,4/4,1,2,0
E♭5,0.5,4/4,1,3,0
E♭5,0.5,4/4,1,3,0
F4,0.5,4/4,1,3,0
E♭5,0.5,4/4,1,3,0
E♭5,0.375,4/4,1,3,0
C5,0.125,4/4,1,3,0
D5,0.5,4/4,1,3,0
0,0.5,4/4,1,3,0
D5,0.375,4/4,1,3,0
E♭5,0.125,4/4,1,3,0
F♯4,0.5,4/4,1,4,0
A5,0.5,4/4,1,4,0
D4,0.25,4/4,1,4,0
E♭5,0.25,4/4,1,4,0
D5,0.25,4/4,1,4,0
C5,0.25,4/4,1,4,0
B♭4,0.25,4/4,1,4,0
G4,0.25,4/4,1,4,0
A4,0.25,4/4,1,4,0
F♯4,0.25,4/4,1,4,0
G4,0.5,4/4,1,4,0
G5,0.375,4/4,1,4,0
B♭5,0.125,4/4,1,4,0
C♯5,0.5,4/4,1,5,0
E6,0.5,4/4,1,5,0
A4,0.25,4/4,1,5,0
B♭5,0.25,4/4,1,5,0
A5,0.25,4/4,1,5,0
G5,0.25,4/4,1,5,0
F5,0.25,4/4,1,5,0
D5,0.25,4/4,1,5,0
E5,0.25,4/4,1,5,0
C♯5,0.25,4/4,1,5,0
D5,0.25,4/4,1,5,0
B4,0.25,4/4,1,5,0
C5,0.25,4/4,1,5,0
D5,0.25,4/4,1,5,0
E♭4,0.25,4/4,1,6,0
F♯5,0.25,4/4,1,6,0
G5,0.25,4/4,1,6,0
C5,0.25,4/4,1,6,0
G4,0.25,4/4,1,6,0
D5,0.25,4/4,1,6,0
C5,0.25,4/4,1,6,0
B4,0.25,4/4,1,6,0
B4,0.5,4/4,1,6,0
C5,0.5,4/4,1,6,0
0,0.5,4/4,1,6,0
C5,0.375,4/4,1,6,0
E♭5,0.125,4/4,1,6,0
A4,0.25,4/4,1,7,0
E5,0.25,4/4,1,7,0
F5,0.25,4/4,1,7,0
G4,0.25,4/4,1,7,0
F4,0.25,4/4,1,7,0
E♭5,0.25,4/4,1,7,0
D5,0.25,4/4,1,7,0
C5,0.25,4/4,1,7,0
D5,0.25,4/4,1,7,0
C5,0.25,4/4,1,7,0
B♭4,0.5,4/4,1,7,0
0,0.5,4/4,1,7,0
F5,0.375,4/4,1,7,0
B♭4,0.125,4/4,1,7,0
G5,0.25,4/4,1,8,0
E♭4,0.25,4/4,1,8,0
D4,0.25,4/4,1,8,0
F5,0.25,4/4,1,8,0
E♭5,0.25,4/4,1,8,0
G4,0.25,4/4,1,8,0
F4,0.25,4/4,1,8,0
D5,0.25,4/4,1,8,0
E♭4,0.25,4/4,1,8,0
D5,0.25,4/4,1,8,0
C5,0.25,4/4,1,8,0
G5,0.25,4/4,1,8,0
E♭5,0.25,4/4,1,8,0
D5,0.25,4/4,1,8,0
C5,0.25,4/4,1,8,0
B♭4,0.25,4/4,1,8,0
A4,0.25,4/4,1,9,0
G4,0.25,4/4,1,9,0
F4,0.5,4/4,1,9,0
0,0.5,4/4,1,9,0
B♭5,0.375,4/4,1,9,0
B♭4,0.125,4/4,1,9,0
B♭4,0.25,4/4,1,9,0
B♭5,0.125,4/4,1,9,0
A5,0.125,4/4,1,9,0
B♭5,0.25,4/4,1,9,0
D4,0.25,4/4,1,9,0
E♭4,0.5,4/4,1,9,0
B♭5,0.375,4/4,1,9,0
B♭4,0.125,4/4,1,9,0
B♭4,0.25,4/4,1,10,0
B♭5,0.125,4/4,1,10,0
A5,0.125,4/4,1,10,0
B♭5,0.25,4/4,1,10,0
F4,0.25,4/4,1,10,0
G4,0.5,4/4,1,10,0
B♭5,0.375,4/4,1,10,0
B♭4,0.125,4/4,1,10,0
C5,0.25,4/4,1,10,0
E♭4,0.25,4/4,1,10,0
F4,0.25,4/4,1,10,0
D5,0.25,4/4,1,10,0
E♭5,0.25,4/4,1,10,0
G4,0.25,4/4,1,10,0
A4,0.25,4/4,1,10,0
F5,0.25,4/4,1,10,0
E♭5,0.25,4/4,1,11,0
D5,0.25,4/4,1,11,0
C5,0.25,4/4,1,11,0
B♭4,0.25,4/4,1,11,0
F4,0.25,4/4,1,11,0
B♭4,0.25,4/4,1,11,0
E♭4,0.25,4/4,1,11,0
A4,0.25,4/4,1,11,0
D4,0.125,4/4,1,11,0
F4,0.125,4/4,1,11,0
B♭4,0.75,4/4,1,11,0
0,0.5,4/4,1,11,0
B♭5,0.375,4/4,1,11,0
B♭4,0.125,4/4,1,11,0
B♭4,0.25,4/4,1,12,0
B♭5,0.125,4/4,1,12,0
A5,0.125,4/4,1,12,0
B♭5,0.25,4/4,1,12,0
D4,0.25,4/4,1,12,0
E♭4,0.5,4/4,1,12,0
B♭5,0.375,4/4,1,12,0
B♭4,0.125,4/4,1,12,0
B♭4,0.25,4/4,1,12,0
B♭5,0.125,4/4,1,12,0
A5,0.125,4/4,1,12,0
B♭5,0.25,4/4,1,12,0
F4,0.25,4/4,1,12,0
G4,0.5,4/4,1,12,0
B♭5,0.375,4/4,1,12,0
B♭4,0.125,4/4,1,12,0
C5,0.25,4/4,1,13,0
E♭4,0.25,4/4,1,13,0
F4,0.25,4/4,1,13,0
D5,0.25,4/4,1,13,0
E♭5,0.25,4/4,1,13,0
G4,0.25,4/4,1,13,0
A4,0.25,4/4,1,13,0
F5,0.25,4/4,1,13,0
E♭5,0.25,4/4,1,13,0
D5,0.25,4/4,1,13,0
C5,0.25,4/4,1,13,0
B♭4,0.25,4/4,1,13,0
F4,0.25,4/4,1,13,0
B♭4,0.25,4/4,1,13,0
E♭4,0.25,4/4,1,13,0
A4,0.25,4/4,1,13,0
D4,0.125,4/4,1,14,0
F4,0.125,4/4,1,14,0
B♭4,0.75,4/4,1,14,0
0,1.0,4/4,1,14,0
0,1.0,4/4,1,14,0
0,0.5,4/4,1,14,0
0,0,0,x,x,.
B♭4,0.5,3/4,2,15,0
F5,1.0,3/4,2,15,0
G5,1.0,3/4,2,15,0
B♭4,0.5,3/4,2,15,0
A4,0.25,3/4,2,16,0
C5,0.25,3/4,2,16,0
A4,0.25,3/4,2,16,0
F4,0.25,3/4,2,16,0
A4,0.25,3/4,2,16,0
C5,0.25,3/4,2,16,0
A4,0.25,3/4,2,16,0
F4,0.25,3/4,2,16,0
A4,0.25,3/4,2,16,0
C5,0.25,3/4,2,16,0
A4,0.25,3/4,2,16,0
F4,0.25,3/4,2,16,0
B♭4,0.5,3/4,2,17,0
F5,1.0,3/4,2,17,0
G5,1.0,3/4,2,17,0
B♭4,0.5,3/4,2,17,0
A4,0.25,3/4,2,18,0
C5,0.25,3/4,2,18,0
A4,0.25,3/4,2,18,0
F4,0.25,3/4,2,18,0
C5,0.5,3/4,2,18,0
F4,0.5,3/4,2,18,0
0,0.5,3/4,2,18,0
E♭4,0.5,3/4,2,18,0
D4,0.5,3/4,2,19,0
B♭4,0.5,3/4,2,19,0
E♭4,0.5,3/4,2,19,0
B♭4,0.5,3/4,2,19,0
F4,0.5,3/4,2,19,0
B♭4,0.5,3/4,2,19,0
G4,0.25,3/4,2,20,0
E♭4,0.25,3/4,2,20,0
G4,0.25,3/4,2,20,0
B♭4,0.25,3/4,2,20,0
E♭5,0.5,3/4,2,20,0
G4,0.5,3/4,2,20,0
F4,0.5,3/4,2,20,0
G4,0.25,3/4,2,20,0
F4,0.25,3/4,2,20,0
E4,0.5,3/4,2,21,0
C5,0.5,3/4,2,21,0
F4,0.5,3/4,2,21,0
C5,0.5,3/4,2,21,0
G4,0.5,3/4,2,21,0
C5,0.5,3/4,2,21,0
A4,0.25,3/4,2,22,0
F4,0.25,3/4,2,22,0
A4,0.25,3/4,2,22,0
C5,0.25,3/4,2,22,0
F5,0.5,3/4,2,22,0
A4,0.5,3/4,2,22,0
B♭4,0.5,3/4,2,22,0
F5,0.5,3/4,2,22,0
E♭4,0.5,3/4,2,23,0
G5,0.5,3/4,2,23,0
D4,0.5,3/4,2,23,0
F5,0.5,3/4,2,23,0
F4,0.5,3/4,2,23,0
A5,0.5,3/4,2,23,0
G4,0.5,3/4,2,24,0
B♭5,0.5,3/4,2,24,0
F4,0.5,3/4,2,24,0
A5,0.5,3/4,2,24,0
B♭4,0.5,3/4,2,24,0
G5,0.5,3/4,2,24,0
A4,0.5,3/4,2,25,0
F5,0.5,3/4,2,25,0
F4,0.5,3/4,2,25,0
E♭5,0.5,3/4,2,25,0
B♭4,0.5,3/4,2,25,0
D5,0.5,3/4,2,25,0
E♭4,0.5,3/4,2,26,0
C5,0.5,3/4,2,26,0
D4,0.5,3/4,2,26,0
B♭4,0.5,3/4,2,26,0
F4,0.5,3/4,2,26,0
A4,0.5,3/4,2,26,0
0,0.5,3/4,2,27,0
B♭4,0.25,3/4,2,27,0
A4,0.25,3/4,2,27,0
B♭4,0.5,3/4,2,27,0
C5,0.5,3/4,2,27,0
D5,0.5,3/4,2,27,0
E5,0.5,3/4,2,27,0
F4,0.5,3/4,2,28,0
C6,1.0,3/4,2,28,0
D6,1.0,3/4,2,28,0
F5,0.5,3/4,2,28,0
E5,0.25,3/4,2,29,0
G5,0.25,3/4,2,29,0
E5,0.25,3/4,2,29,0
C5,0.25,3/4,2,29,0
E5,0.25,3/4,2,29,0
G5,0.25,3/4,2,29,0
E5,0.25,3/4,2,29,0
C5,0.25,3/4,2,29,0
E5,0.25,3/4,2,29,0
G5,0.25,3/4,2,29,0
E5,0.25,3/4,2,29,0
C5,0.25,3/4,2,29,0
F5,0.5,3/4,2,30,0
C6,1.0,3/4,2,30,0
D6,1.0,3/4,2,30,0
F5,0.5,3/4,2,30,0
E5,0.25,3/4,2,31,0
G5,0.25,3/4,2,31,0
E5,0.25,3/4,2,31,0
C5,0.25,3/4,2,31,0
G5,0.5,3/4,2,31,0
C5,0.5,3/4,2,31,0
0,0.5,3/4,2,31,0
B♭4,0.5,3/4,2,31,0
A4,0.5,3/4,2,32,0
F5,0.5,3/4,2,32,0
B♭4,0.5,3/4,2,32,0
F5,0.5,3/4,2,32,0
C5,0.5,3/4,2,32,0
F5,0.5,3/4,2,32,0
D5,0.25,3/4,2,33,0
B♭4,0.25,3/4,2,33,0
D5,0.25,3/4,2,33,0
F5,0.25,3/4,2,33,0
B♭5,0.5,3/4,2,33,0
D5,0.5,3/4,2,33,0
C5,0.5,3/4,2,33,0
D5,0.25,3/4,2,33,0
C5,0.25,3/4,2,33,0
B4,0.5,3/4,2,34,0
G5,0.5,3/4,2,34,0
C5,0.5,3/4,2,34,0
G5,0.5,3/4,2,34,0
D5,0.5,3/4,2,34,0
G5,0.5,3/4,2,34,0
E5,0.25,3/4,2,35,0
C5,0.25,3/4,2,35,0
E5,0.25,3/4,2,35,0
G5,0.25,3/4,2,35,0
C6,0.5,3/4,2,35,0
E5,0.5,3/4,2,35,0
F5,0.5,3/4,2,35,0
C6,0.5,3/4,2,35,0
B♭4,0.5,3/4,2,36,0
D6,0.5,3/4,2,36,0
A4,0.5,3/4,2,36,0
C6,0.5,3/4,2,36,0
C5,0.5,3/4,2,36,0
A5,0.5,3/4,2,36,0
D5,0.5,3/4,2,37,0
B♭5,0.5,3/4,2,37,0
C5,0.5,3/4,2,37,0
A5,0.5,3/4,2,37,0
F5,0.5,3/4,2,37,0
D6,0.5,3/4,2,37,0
E5,0.5,3/4,2,38,0
C6,0.5,3/4,2,38,0
C5,0.5,3/4,2,38,0
B♭5,0.5,3/4,2,38,0
F5,0.5,3/4,2,38,0
A5,0.5,3/4,2,38,0
B♭4,0.5,3/4,2,39,0
G5,0.5,3/4,2,39,0
A4,0.5,3/4,2,39,0
F5,0.5,3/4,2,39,0
C5,0.5,3/4,2,39,0
E5,0.5,3/4,2,39,0
0,0.5,3/4,2,40,0
F5,0.25,3/4,2,40,0
E5,0.25,3/4,2,40,0
F5,0.5,3/4,2,40,0
D5,0.5,3/4,2,40,0
E♭5,0.5,3/4,2,40,0
C5,0.5,3/4,2,40,0
G4,0.25,3/4,2,41,0
A4,0.25,3/4,2,41,0
